"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
29,"self-employed","married","professional.course","no","no","no","telephone","jun","wed",26,1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
43,"admin.","married","high.school","no","no","no","telephone","may","thu",196,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
23,"admin.","married","basic.9y","no","yes","no","cellular","jul","mon",686,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
30,"technician","married","professional.course","no","no","no","telephone","aug","wed",645,7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes"
37,"blue-collar","divorced","basic.4y","","yes","yes","telephone","may","fri",301,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
56,"admin.","divorced","basic.6y","no","yes","no","cellular","jul","mon",239,4,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
49,"unemployed","married","high.school","","yes","no","cellular","aug","fri",112,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
39,"admin.","single","high.school","no","no","no","cellular","may","tue",197,2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no"
35,"technician","married","professional.course","no","yes","no","cellular","jul","tue",401,4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
33,"admin.","married","high.school","no","yes","no","cellular","nov","tue",273,1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
58,"housemaid","married","high.school","","","","telephone","jun","fri",153,4,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
29,"admin.","married","university.degree","no","yes","no","telephone","may","thu",203,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
39,"blue-collar","married","basic.9y","no","no","no","telephone","jun","mon",200,2,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
54,"","married","basic.9y","no","yes","no","cellular","jul","tue",174,2,13,2,"success",-1.7,94.215,-40.3,0.876,4991.6,"no"
64,"unemployed","married","basic.4y","no","yes","no","cellular","nov","thu",427,1,999,0,"nonexistent",-3.4,92.649,-30.1,0.714,5017.5,"no"
52,"admin.","married","university.degree","no","yes","yes","cellular","may","thu",250,1,3,5,"success",-1.8,93.876,-40,0.677,5008.7,"yes"
49,"management","married","university.degree","no","no","no","cellular","jul","mon",86,4,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no"
40,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",374,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
40,"management","married","university.degree","no","no","no","cellular","aug","tue",17,11,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
46,"blue-collar","married","basic.4y","","no","no","telephone","may","tue",367,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
49,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",260,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
53,"self-employed","married","university.degree","","yes","no","cellular","aug","mon",693,6,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
33,"admin.","married","university.degree","no","yes","no","cellular","nov","tue",52,1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
25,"services","divorced","high.school","no","no","no","telephone","may","thu",219,4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
38,"unemployed","married","basic.9y","no","no","no","telephone","jun","fri",56,1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no"
36,"services","married","high.school","","yes","yes","telephone","jun","wed",57,2,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
48,"management","married","university.degree","no","yes","no","telephone","may","fri",16,23,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
24,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","fri",545,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
37,"admin.","married","university.degree","no","yes","no","telephone","may","wed",108,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
28,"management","single","university.degree","no","yes","no","cellular","may","tue",193,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no"
38,"housemaid","married","basic.6y","","yes","no","telephone","may","fri",201,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
31,"admin.","married","university.degree","no","no","no","cellular","jul","fri",143,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
41,"blue-collar","married","basic.9y","no","no","no","telephone","jun","wed",378,2,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
41,"admin.","divorced","university.degree","no","no","no","cellular","apr","tue",82,4,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"no"
27,"admin.","married","university.degree","no","yes","no","cellular","sep","tue",173,2,6,2,"failure",-3.4,92.379,-29.8,0.77,5017.5,"yes"
42,"housemaid","married","basic.9y","","no","no","cellular","jul","mon",100,16,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
28,"blue-collar","married","basic.9y","no","no","no","telephone","jun","thu",140,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
43,"blue-collar","divorced","basic.9y","no","","","cellular","nov","thu",73,3,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
34,"blue-collar","single","basic.9y","no","no","yes","telephone","may","wed",181,1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
34,"admin.","single","high.school","no","no","no","cellular","jul","wed",346,1,999,1,"failure",-1.7,94.215,-40.3,0.802,4991.6,"yes"
35,"management","single","university.degree","no","yes","no","cellular","may","fri",233,1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no"
35,"blue-collar","married","basic.4y","no","yes","no","cellular","may","mon",386,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
39,"technician","married","university.degree","no","no","no","cellular","oct","fri",170,1,6,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"yes"
24,"technician","single","university.degree","no","yes","no","cellular","apr","fri",326,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.479,5099.1,"no"
49,"admin.","divorced","university.degree","no","no","no","cellular","aug","wed",128,1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
29,"blue-collar","single","high.school","no","no","no","cellular","jul","thu",353,3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no"
44,"admin.","married","high.school","no","no","no","telephone","may","tue",263,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
28,"services","married","","no","no","no","telephone","may","mon",408,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
34,"technician","divorced","professional.course","no","yes","no","cellular","apr","fri",122,1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no"
50,"admin.","married","university.degree","no","no","yes","cellular","aug","thu",460,1,15,2,"failure",-2.9,92.201,-31.4,0.829,5076.2,"yes"
57,"admin.","married","basic.9y","no","no","yes","cellular","jul","wed",194,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
47,"admin.","married","university.degree","no","no","no","telephone","jul","tue",186,9,999,0,"nonexistent",-2.9,92.469,-33.6,0.908,5076.2,"no"
32,"technician","divorced","professional.course","no","yes","yes","telephone","jul","fri",99,1,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no"
53,"blue-collar","married","high.school","no","no","no","telephone","may","tue",109,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
51,"admin.","married","professional.course","no","yes","no","cellular","jul","thu",132,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
44,"technician","divorced","high.school","no","yes","no","telephone","may","mon",457,5,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
77,"retired","married","basic.4y","no","no","no","cellular","aug","thu",318,1,9,4,"failure",-1.7,94.027,-38.3,0.904,4991.6,"yes"
42,"admin.","married","high.school","no","yes","no","cellular","jul","fri",311,6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
51,"technician","married","professional.course","no","yes","no","cellular","sep","mon",841,2,999,2,"failure",-1.1,94.199,-37.5,0.882,4963.6,"yes"
59,"admin.","married","professional.course","no","no","no","telephone","may","mon",51,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"admin.","married","high.school","","yes","no","cellular","mar","tue",265,1,999,1,"failure",-1.8,92.843,-50,1.51,5099.1,"no"
37,"technician","single","high.school","no","","","telephone","jun","wed",109,3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
51,"technician","married","university.degree","no","yes","no","cellular","mar","thu",278,2,999,0,"nonexistent",-1.8,92.843,-50,1.538,5099.1,"no"
42,"self-employed","married","university.degree","","no","yes","cellular","jul","mon",95,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
58,"retired","divorced","university.degree","no","yes","no","telephone","may","mon",83,4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no"
32,"entrepreneur","single","university.degree","no","yes","no","cellular","jul","tue",192,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
28,"entrepreneur","married","basic.9y","no","yes","no","telephone","jun","tue",1848,1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes"
28,"services","married","high.school","no","yes","no","cellular","jul","wed",350,1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
42,"admin.","single","high.school","no","no","no","telephone","may","tue",205,1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
24,"student","single","high.school","no","no","no","cellular","jun","tue",225,1,3,1,"success",-2.9,92.963,-40.8,1.262,5076.2,"no"
28,"management","single","university.degree","no","no","no","cellular","jul","fri",292,3,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
40,"housemaid","married","basic.9y","no","yes","yes","telephone","apr","wed",169,1,999,1,"failure",-1.8,93.075,-47.1,1.445,5099.1,"no"
33,"technician","single","university.degree","no","no","no","cellular","aug","fri",162,1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
48,"technician","married","basic.9y","no","no","no","cellular","jul","thu",81,3,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
34,"technician","married","professional.course","","yes","no","cellular","jul","wed",64,4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
28,"admin.","single","high.school","no","no","yes","cellular","jul","mon",254,2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
41,"admin.","married","university.degree","no","no","no","cellular","aug","wed",85,5,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
58,"retired","married","university.degree","no","yes","no","telephone","aug","mon",100,1,999,0,"nonexistent",-2.9,92.201,-31.4,0.843,5076.2,"no"
48,"blue-collar","married","basic.9y","no","no","no","cellular","apr","fri",50,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
50,"blue-collar","divorced","basic.4y","no","yes","no","telephone","jun","wed",30,22,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
55,"","married","","","yes","no","cellular","aug","thu",60,4,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
41,"admin.","married","high.school","no","yes","yes","cellular","apr","mon",254,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
29,"admin.","single","university.degree","no","no","no","cellular","jul","thu",117,1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
30,"","married","university.degree","no","yes","no","cellular","aug","mon",171,1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no"
50,"admin.","married","high.school","no","no","no","cellular","aug","tue",131,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
27,"admin.","single","university.degree","no","yes","yes","cellular","oct","tue",242,1,3,2,"success",-1.1,94.601,-49.5,0.982,4963.6,"no"
42,"management","married","university.degree","no","yes","no","cellular","nov","mon",178,1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
41,"services","single","high.school","no","no","no","cellular","may","fri",1642,2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
34,"entrepreneur","married","","no","yes","no","cellular","aug","wed",98,1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
30,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","wed",175,1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no"
34,"unemployed","single","high.school","no","yes","no","cellular","may","wed",937,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes"
29,"admin.","single","university.degree","no","yes","no","cellular","jul","wed",276,1,999,0,"nonexistent",-1.7,94.215,-40.3,0.84,4991.6,"yes"
57,"retired","divorced","professional.course","no","no","no","telephone","jun","wed",203,1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
34,"admin.","single","university.degree","no","yes","yes","cellular","may","fri",46,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.259,5099.1,"no"
30,"blue-collar","married","basic.4y","no","no","no","cellular","may","thu",208,1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,"no"
40,"management","married","university.degree","","yes","no","cellular","apr","mon",241,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
42,"blue-collar","married","basic.4y","no","yes","no","cellular","apr","mon",179,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
59,"technician","married","university.degree","","no","yes","cellular","jul","thu",459,7,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
32,"technician","single","high.school","no","yes","no","telephone","may","tue",237,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
32,"admin.","married","university.degree","no","no","no","cellular","may","thu",1030,1,6,1,"success",-1.8,92.893,-46.2,1.327,5099.1,"yes"
37,"technician","married","high.school","no","yes","no","telephone","jun","tue",267,3,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
35,"admin.","single","high.school","no","yes","yes","cellular","aug","mon",107,4,2,3,"success",-2.9,92.201,-31.4,0.884,5076.2,"no"
39,"housemaid","married","basic.4y","no","yes","no","telephone","jun","mon",44,4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
38,"admin.","single","university.degree","no","no","no","cellular","nov","wed",79,2,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
42,"unemployed","married","","no","yes","no","telephone","aug","thu",280,7,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,"no"
59,"retired","married","","no","yes","no","cellular","aug","fri",73,1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
26,"admin.","single","high.school","no","no","no","telephone","jun","tue",56,3,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
35,"blue-collar","married","basic.9y","","no","no","telephone","jun","fri",76,12,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no"
28,"technician","married","professional.course","no","no","no","cellular","jul","tue",261,3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
29,"admin.","single","university.degree","no","yes","no","cellular","aug","fri",101,2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no"
32,"technician","married","professional.course","no","no","no","telephone","jun","wed",117,1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
55,"blue-collar","married","basic.9y","","no","no","cellular","nov","tue",63,2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no"
24,"admin.","single","high.school","no","yes","no","cellular","jul","thu",725,3,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"yes"
44,"admin.","married","high.school","no","yes","no","telephone","may","mon",175,5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
52,"services","single","high.school","no","yes","no","telephone","jun","wed",43,1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
26,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",45,2,999,2,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no"
35,"management","married","university.degree","no","no","no","cellular","apr","mon",81,3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
45,"unemployed","married","high.school","","yes","no","telephone","may","fri",239,1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
34,"admin.","married","basic.9y","no","no","no","telephone","may","tue",175,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
43,"admin.","divorced","university.degree","","no","no","cellular","aug","tue",111,2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no"
31,"services","divorced","high.school","no","no","no","cellular","apr","mon",379,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no"
31,"admin.","married","university.degree","no","no","no","cellular","nov","thu",282,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
53,"blue-collar","married","basic.4y","no","yes","no","telephone","may","mon",136,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
39,"technician","single","professional.course","","no","no","telephone","jun","mon",432,4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes"
56,"blue-collar","married","basic.9y","","yes","no","cellular","jul","fri",560,1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
27,"admin.","married","basic.9y","no","yes","no","telephone","jun","mon",72,3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no"
48,"self-employed","married","high.school","","yes","yes","cellular","jul","mon",88,3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
45,"blue-collar","married","illiterate","","no","no","telephone","may","thu",1196,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
38,"admin.","single","university.degree","no","no","no","cellular","may","mon",114,4,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no"
31,"services","married","high.school","no","no","no","telephone","jun","tue",37,6,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no"
59,"housemaid","single","professional.course","no","no","no","cellular","nov","wed",69,1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
48,"technician","single","","","no","no","telephone","may","thu",257,7,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no"
47,"management","married","","no","no","no","cellular","jul","thu",114,1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
37,"admin.","single","university.degree","","yes","no","telephone","jun","thu",179,3,999,0,"nonexistent",1.4,94.465,-41.8,4.955,5228.1,"no"
41,"unemployed","married","professional.course","no","no","no","cellular","may","mon",276,4,10,1,"success",-1.8,92.893,-46.2,1.244,5099.1,"no"
45,"services","married","professional.course","no","yes","no","telephone","may","mon",221,1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no"
38,"blue-collar","single","basic.6y","no","no","no","telephone","jul","thu",114,4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
38,"blue-collar","married","basic.4y","","yes","no","telephone","jul","wed",31,6,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
31,"entrepreneur","single","high.school","no","no","no","cellular","nov","thu",290,1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no"
53,"admin.","married","basic.9y","no","no","no","telephone","may","mon",40,5,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"no"
